t;T_surf;M_Europa;M_loss;R_Europa;Density
17800.0000;276.649475;2.95629368E+20;0.00000000;286545.750;3000.00000
17900.0000;276.649475;2.97219596E+20;0.00000000;287058.688;3000.00000
18000.0000;276.649475;2.98809824E+20;0.00000000;287569.781;3000.00000
18100.0000;276.649475;3.00400052E+20;0.00000000;288079.062;3000.00000
18200.0000;276.649475;3.01990280E+20;0.00000000;288586.562;3000.00000
18300.0000;276.649475;3.03580508E+20;0.00000000;289092.281;3000.00000
18400.0000;276.649475;3.05170737E+20;0.00000000;289596.250;3000.00000
18500.0000;276.649475;3.06760965E+20;0.00000000;290098.469;3000.00000
18600.0000;276.649475;3.08351193E+20;0.00000000;290598.938;3000.00000
18700.0000;276.649475;3.09941421E+20;0.00000000;291097.688;3000.00000
18800.0000;276.649475;3.11531649E+20;0.00000000;291594.750;3000.00000
18900.0000;276.649475;3.13121877E+20;0.00000000;292090.125;3000.00000
19000.0000;276.649475;3.14712105E+20;0.00000000;292583.812;3000.00000
19100.0000;276.649475;3.16302333E+20;0.00000000;293075.844;3000.00000
19200.0000;276.649475;3.17892561E+20;0.00000000;293566.219;3000.00000
19300.0000;276.649475;3.19482789E+20;0.00000000;294054.969;3000.00000
19400.0000;276.649475;3.21073017E+20;0.00000000;294542.094;3000.00000
19500.0000;276.675232;3.22663245E+20;0.00000000;295027.625;3000.00000
19600.0000;276.675232;3.24253473E+20;0.00000000;295511.562;3000.00000
19700.0000;276.675232;3.25843701E+20;0.00000000;295993.938;3000.00000
19800.0000;276.675232;3.27433929E+20;0.00000000;296474.719;3000.00000
19900.0000;276.675232;3.29024157E+20;0.00000000;296953.969;3000.00000
20000.0000;276.675232;3.30614386E+20;0.00000000;297431.656;3000.00000
20100.0000;276.675232;3.32204614E+20;0.00000000;297907.812;3000.00000
20200.0000;276.675232;3.33794842E+20;0.00000000;298382.469;3000.00000
20300.0000;276.675232;3.35385070E+20;0.00000000;298855.625;3000.00000
20400.0000;276.675232;3.36975298E+20;0.00000000;299327.281;3000.00000
20500.0000;276.700989;3.38565526E+20;0.00000000;299797.469;3000.00000
20600.0000;276.700989;3.40155754E+20;0.00000000;300266.188;3000.00000
20700.0000;276.700989;3.41745982E+20;0.00000000;300733.438;3000.00000
20800.0000;276.700989;3.43336210E+20;0.00000000;301199.250;3000.00000
20900.0000;276.700989;3.44926438E+20;0.00000000;301663.625;3000.00000
21000.0000;276.700989;3.46516666E+20;0.00000000;302126.562;3000.00000
21100.0000;276.700989;3.48106894E+20;0.00000000;302588.094;3000.00000
21200.0000;276.700989;3.49697122E+20;0.00000000;303048.219;3000.00000
21300.0000;276.700989;3.51287350E+20;0.00000000;303506.938;3000.00000
21400.0000;276.700989;3.52877578E+20;0.00000000;303964.281;3000.00000
21500.0000;276.700989;3.54467807E+20;0.00000000;304420.250;3000.00000
21600.0000;276.700989;3.56058035E+20;0.00000000;304874.875;3000.00000
21700.0000;276.700989;3.57648263E+20;0.00000000;305328.125;3000.00000
21800.0000;276.700989;3.59238491E+20;0.00000000;305780.031;3000.00000
21900.0000;276.700989;3.60828719E+20;0.00000000;306230.625;3000.00000
22000.0000;276.700989;3.62418947E+20;0.00000000;306679.906;3000.00000
22100.0000;276.700989;3.64009175E+20;0.00000000;307127.875;3000.00000
22200.0000;276.700989;3.65599403E+20;0.00000000;307574.531;3000.00000
22300.0000;276.700989;3.67189631E+20;0.00000000;308019.906;3000.00000
22400.0000;276.700989;3.68779859E+20;0.00000000;308464.000;3000.00000
22500.0000;276.700989;3.70370087E+20;0.00000000;308906.812;3000.00000
22600.0000;276.700989;3.71960315E+20;0.00000000;309348.344;3000.00000
22700.0000;276.726746;3.73550543E+20;0.00000000;309788.625;3000.00000
22800.0000;276.726746;3.75140771E+20;0.00000000;310227.656;3000.00000
