H2O,CO2,NH3,HCO3-,H+,NH4+,CO32-,OH-,NH2COO-,CH4,Ar,Kr,Xe,pH
0.9999615193655415,0.025507431612174093,3.754552699120164e-07,0.006485357786232489,1.9341851652055824e-08,0.006486610500851054,4.322932843366379e-07,7.134411461710843e-11,4.0739855741775735e-07,0.004543185328182655,3.856003551832889e-06,3.8086826451968887e-06,4.570314951992493e-06,5.9691262562054765
0.9999615336116651,0.025546813251561856,3.701744787536059e-07,0.006458562984995223,1.945185101810677e-08,0.006459796213357255,4.2642114204540916e-07,7.086004606837912e-11,3.9976706891457545e-07,0.004546760858036067,3.856472604099552e-06,3.808613739831888e-06,4.56930509547539e-06,5.966663375767783
0.9999614411872877,0.025490792126911292,3.8279726799572773e-07,0.0065327378146545784,1.917142282579634e-08,0.006534020485859088,4.4152608971589653e-07,7.194739162834267e-11,4.1871850047719183e-07,0.004550798305893014,3.869046157140944e-06,3.808938114629706e-06,4.568601867702311e-06,5.972969924608909
0.9999614609903341,0.025532491640869903,3.767899264296173e-07,0.00650200845920552,1.9294616881629166e-08,0.006503268708538597,4.3477009887358405e-07,7.140683658486336e-11,4.0993234532789323e-07,0.004554185275110051,3.8694400264466565e-06,3.8088500915008273e-06,4.5984049690185174e-06,5.9701881193298005
0.9999614762917639,0.02557479694154438,3.7110841736565763e-07,0.006473225659008956,1.9412307894834733e-08,0.006474464901529923,4.284405749761074e-07,7.088744039722788e-11,4.0170279142841636e-07,0.004557589689879281,3.869949960092404e-06,3.8087801629195945e-06,4.597318197743477e-06,5.967547114558767
0.9999613875262024,0.025518039567555807,3.835660273184321e-07,0.006545939842692687,1.913760386789519e-08,0.006547227861099491,4.4333294192002756e-07,7.196056091757979e-11,4.2041816625003223e-07,0.0045613737797008756,3.87082247075644e-06,3.8090931959751925e-06,4.59673980362293e-06,5.973736686151841
0.9999614057820888,0.025565812084834237,3.769954042133973e-07,0.006512949527644467,1.9270716325051577e-08,0.0065142131406573135,4.359915343257472e-07,7.136667929229038e-11,4.108292938398455e-07,0.004568366253669584,3.882995230563622e-06,3.828742114427375e-06,4.595485046739145e-06,5.970726396479282
0.9999614218358781,0.02561046122843461,3.7101122939032326e-07,0.006482619752131046,1.9394453584920584e-08,0.006483861203389333,4.293124740683796e-07,7.082017757147688e-11,4.021499435986122e-07,0.004571535849623877,3.883542323135691e-06,3.8286725504194355e-06,4.594340364539857e-06,5.96794671347503
0.999961438828616,0.025648487234911,3.6575194516162375e-07,0.006455129516758273,1.9506471509643175e-08,0.006456351386947046,4.233885930958104e-07,7.033889178631028e-11,3.9452913525695624e-07,0.004574550130748156,3.883932696746156e-06,3.828598563277533e-06,4.593452220127861e-06,5.9654455514908085
0.9999613466263516,0.025594931321662236,3.779376362594984e-07,0.006527962189174009,1.9231123620311647e-08,0.006529232001017772,4.380747353398629e-07,7.139126733303062e-11,4.128221054469331e-07,0.0045781308086196805,3.884959513510426e-06,3.828931421152146e-06,4.592668372535247e-06,5.971619569620249
0.999961366704118,0.02563851446942656,3.717842511584055e-07,0.006496154210771395,1.9359078917828123e-08,0.0064974010197974925,4.311287342583977e-07,7.083445315206742e-11,4.0383980205491586e-07,0.004584745395526859,3.897018927901246e-06,3.8288264240873145e-06,4.591612782423114e-06,5.968739547677658
